"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10682","admin processorDashboard Incorrect arguments","","Wed Oct 16 12:01:56 IST 2024","broken","Wed Oct 16 12:02:07 IST 2024","","IntainVA Admin processorDashboard","",""
"","71","processorDashboard correct arguments","","Wed Oct 23 11:07:46 IST 2024","broken","Wed Oct 23 11:07:46 IST 2024","","IntainVA Admin processorDashboard","",""
"","31749","should display an error for incorrect arguments , all fields and login with correct credentials","","Wed Oct 23 15:02:27 IST 2024","passed","Wed Oct 23 15:02:59 IST 2024","","IntainVA Automation logIn Page","",""
"","2","Dashboard TestCases ","","Wed Oct 16 12:02:56 IST 2024","broken","Wed Oct 16 12:02:56 IST 2024","","IntainVA_adminDashboard","",""
"","27664","login page","","Thu Oct 24 12:57:11 IST 2024","passed","Thu Oct 24 12:57:39 IST 2024","","IntainVA Processor Dashboard","",""
"","44372","login page","","Mon Sep 23 12:29:13 IST 2024","passed","Mon Sep 23 12:29:58 IST 2024","","IntainVA Automation","",""
"","10643","Fielddashboard","","Wed Oct 16 12:01:58 IST 2024","broken","Wed Oct 16 12:02:08 IST 2024","","IntainVA - Admin Fielddashboard","",""
"","544","processorDashboard correct arguments","","Wed Sep 25 23:59:21 IST 2024","broken","Wed Sep 25 23:59:21 IST 2024","","processorDashboard","",""
"","12062","should display an error for incorrect email/password","","Tue Sep 24 15:47:08 IST 2024","passed","Tue Sep 24 15:47:20 IST 2024","","IntainVA Automation - Invalid Login Test","",""
"","33135","should display an error for incorrect email/password","","Wed Sep 25 12:17:44 IST 2024","passed","Wed Sep 25 12:18:17 IST 2024","","IntainVA Automation","",""
"","31603","login page test","","Wed Sep 25 00:44:20 IST 2024","passed","Wed Sep 25 00:44:51 IST 2024","","IntainVA Automation","",""
"","11666","processorDashboard Incorrect arguments","","Wed Sep 25 23:59:09 IST 2024","broken","Wed Sep 25 23:59:21 IST 2024","","processorDashboard","",""
"","31678","login page Successfull test scenario","","Wed Sep 25 00:58:32 IST 2024","passed","Wed Sep 25 00:59:04 IST 2024","","IntainVA Automation","",""
"","10706","Fielddashboard","","Wed Sep 25 23:59:13 IST 2024","broken","Wed Sep 25 23:59:24 IST 2024","","Fielddashboard","",""
"","1","Dashboard TestCases ","","Thu Oct 24 11:40:14 IST 2024","broken","Thu Oct 24 11:40:14 IST 2024","","IntainVA_adminDashboard","",""
"","154","processorDashboard correct arguments","","Wed Oct 16 12:02:07 IST 2024","broken","Wed Oct 16 12:02:07 IST 2024","","IntainVA Admin processorDashboard","",""
"","53873","login page","","Wed Sep 25 23:59:09 IST 2024","passed","Thu Sep 26 00:00:03 IST 2024","","IntainVA","",""
"","36652","should display an error for incorrect arguments , all fields and login with correct credentials","","Wed Oct 16 12:12:23 IST 2024","broken","Wed Oct 16 12:13:00 IST 2024","","IntainVA Automation logIn Page","",""
"","16506","admin processorDashboard Incorrect arguments","","Wed Oct 23 11:20:33 IST 2024","broken","Wed Oct 23 11:20:49 IST 2024","","IntainVA Admin processorDashboard","",""
"","14119","Dashboard TestCases","","Wed Oct 23 14:07:16 IST 2024","failed","Wed Oct 23 14:07:30 IST 2024","","IntainVA_adminDashboard","",""
"","10161","Fielddashboard","","Wed Oct 23 12:28:11 IST 2024","broken","Wed Oct 23 12:28:21 IST 2024","","IntainVA - Admin Fielddashboard","",""
"","11681","should verify all the elemets and the login page URL and title","","Fri Sep 20 11:20:09 IST 2024","failed","Fri Sep 20 11:20:21 IST 2024","","Login Page Elements Tests","",""
"","0","Processor Form Test","","Wed Oct 23 12:43:54 IST 2024","broken","Wed Oct 23 12:43:54 IST 2024","","IntainVA_adminDashboard","",""
"","6344","should verify all the elemets and the login page URL and title","","Wed Sep 25 00:58:21 IST 2024","passed","Wed Sep 25 00:58:27 IST 2024","","Login Page Elements","",""
"","58443","login page","","Thu Oct 17 10:09:56 IST 2024","passed","Thu Oct 17 10:10:55 IST 2024","","IntainVA Processor Dashboard","",""
